N°,Location,Latitude,Longitude,Date (Gregorian Calendar),Hour (local),Hour (UTC),Sound,Hail,Electric Storm,Damage,Tornado,Waterspout,Register,Max. EF Rating,Analyst,Fatalities,Injured,Link to Documents,Sources,Comments,Reported to CIMA database
43,Padre de Las Casas-Cunco,"-38,78","-72,57",2018-03-23,3:00,6:00:00,0,0,0,1,1,0,0,,,,,"2018 23 Marzo, Padre de las Casas-Cunco",https://www.biobiochile.cl/noticias/nacional/region-de-la-araucania/2018/03/23/fuertes-vientos-derribaron-decenas-de-arboles-en-ruta-que-une-padre-las-casas-y-cuncos.shtml,,
44,Caleta La Arena ,"-41,693","-72,643",2018-09-30,NaT,,0,1,1,1,1,0,1,,,,,"2018 30 Septiembre, Caleta La Arena",https://www.radiosago.cl/tromba-marina-destruyo-varios-inmuebles-en-la-carretera-austral/,,
45,Quilelto (San Carlos),"-36,496","-71,943",2019-05-30,15:00:00,19:00:00,0,0,0,1,1,0,0,0,JV,0,0,"2019 30 Mayo, Quilelto (San Carlos)",https://www.biobiochile.cl/noticias/nacional/region-de-nuble/2019/05/30/tromba-terrestre-arranca-los-techos-de-dos-viviendas-en-sector-rural-de-san-carlos.shtml,Roof blow-offs in 2 houses with 7 people affected. Evidence suggests a low-intensity tornado (EF0). More information in Vicencio et al. (2021).,
46,"San Miguel de Itata (Yungay) 
","-37,106","-72,119",2019-05-30,15:20:00,19:20:00,0,0,0,1,1,0,0,0,JV,0,0,"2019 30 Mayo, San Miguel de Itata (Yungay)",https://www.ladiscusion.cl/tornado-dana-al-menos-siete-casas-en-yungay/,"42 homes affected by the tornado, of which 28 sustained minor damage and 14 had roof damage. Additionally, there was a fall of poles, trees, and power supply cut. Maximum intensity EF0 upper limit. More information in Vicencio et al. (2021)",
47,"Coihueco, Ñuble","-36,726","-71,81",2019-05-30,16:06:00,20:06:00,1,0,1,1,1,0,1,2,JV,0,0,"2019 30 Mayo, Coihueco",https://www.facebook.com/watch/?v=916853065412195,"Altos de Miraflores School suffered almost complete removal of its roofing. Witnesses mention trees hitting the windows. Additionally, complete destruction of a wooden food casino. Evidence suggests a maximum intensity of EF2. More information in Vicencio et al. (2021).",
48,Los Ángeles,"-37,463","-72,33",2019-05-30,17:57:00,21:57:00,0,1,1,1,1,0,1,2,JV,0,18,"2019 30 Mayo, Los Angeles ",https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2019/05/30/reportan-paso-de-una-especie-de-tornado-en-los-angeles.shtml,EF2 intensity obtained from the description of damage made by meteorologists Camilo Barahona and Ricardo Abarca during a field visit. More information in Vicencio et al. (2021).,
49,San Andrés (Collipulli),"-37,939","-72,498",2019-05-30,18-19:25,22-23:25 ,0,0,0,1,1,0,1,1,JV,0,13,"2019 30 Mayo, San Andres (Collipulli) ",https://www.facebook.com/watch/?v=2170613709723373,"13 people injured and 17 affected. One house destroyed, 1 house with major damage, and four others with minor damage. Evidence suggests an EF1 tornado. More information in Vicencio et al. (2021)",
50,Talcahuano-Concepción,"-36,785","-73,1",2019-05-31,14:00:00,18:00:00,0,1,1,1,1,0,1,2,JV,1,23,"2019 31 Mayo, Talcahuano-Concepción",https://www.youtube.com/watch?v=DR5XC9Mo5cc&t=3s,"The maximum EF2 intensity was estimated by Dr. Roberto Rondanelli in Vicencio et al. (2021) using theoretical wind profiles, based on measurements from two meteorological stations in the tornado's path. Additionally, in a field damage study, Aránguiz et al. (2020) determined that a small number of houses observed structural damage, consistent with a maximum intensity of EF2.",
51,"Chanco, Maule","-35,775","-72,505",2019-05-31,15:00-15:20,19:00-19:20 ,0,0,0,1,1,0,0,0,JV,0,0,"2019 31 Mayo, Chanco Maule ",https://cooperativa.cl/noticias/pais/region-del-maule/tromba-marina-derribo-arboles-y-bloqueo-rutas-en-chanco/2019-05-31/173430.html,Fall of more than 50 trees affected electrical lines and rural road. Maximum intensity is estimated at the upper part of EF0. More information in Vicencio et al. (2021).,
52,Alto del Rey (San Pedro de la Paz),"-36,815","-73,167",2019-06-13,16:00-17:00,20:00-21:00,0,0,0,0,1,1,1,0,JV,0,0,"2019 12 Junio, San Pedro de la Paz","https://www.24horas.cl/regiones/biobio/una-nueva-tromba-marina-es-registrada-por-pescadores-en-san-pedro-de-la-paz-3385320 
https://amigospenquistas.cl/2019/06/13/video-muestra-el-inicio-de-una-tromba-marina-en-san-pedro-de-la-paz-hace-instantes/ 
https://climatologia.meteochile.gob.cl/publicaciones/boletinEventosExtremos/boletinEventosExtremos-2019.pdf ",Blowing off of roofs at a fisherman's warehouse in Caleta Alto del Rey. Estimated intensity EF0,
53,Pucatrihue,"-40,537","-73,719",2019-10-28,18:38:00,21:38:00,0,0,0,0,0,1,1,,,,,"2019 28 Oct, Pucatrihue ","https://www.facebook.com/groups/otvemergencias/posts/827728434310073/ 
https://twitter.com/reportsuraustra/status/1188946710346850305 
https://climatologia.meteochile.gob.cl/publicaciones/boletinEventosExtremos/boletinEventosExtremos-2019.pdf ",,
54,"Sector de Manzanares, Renaico","-37,6747","-72,5854",2020-04-25,3:00:00,7:00:00,1,0,1,1,1,0,0,0,JV,0,0,"2020 25 Abril, Renaico","https://www.youtube.com/watch?v=gQdjewjs5To
https://cooperativa.cl/noticias/pais/region-de-la-araucania/un-tornado-arraso-con-galpones-arboles-y-el-tendido-electrico-en-la/2020-04-25/115334.html","Witnesses mention the fall of trees, partial blowing off of roofs, damage to the electrical grid, and damage to sheds and chicken coops. The tornado crossed over greenhouses but did not destroy the structure. In the video, destruction of light construction structures (wood) can be seen. A maximum intensity of EF0 is estimated",
55,"Sector Chamiza, Puerto Montt","-41,4842","-72,8495",2020-05-03,16:30:00,20:30:00,0,0,1,1,1,0,1,0,JV,0,0,"2020 3 Mayo, Chamiza (Puerto Montt)","https://www.facebook.com/watch/?v=264360364703595
https://cooperativa.cl/noticias/pais/region-de-los-lagos/vecinos-reportaron-tromba-marina-en-puerto-montt-hay-cinco-viviendas/2020-05-03/191924.html","Minor damage to 3 houses, with the main impact being the blowing off of roofs and power outage. Video shows the wall of the tornadic cloud and extension of the funnel to the surface, along with 'ascending scud' clouds. Damages appear to indicate an EF0.




",
56,"Sector Puralaco, Toltén","-39,3022","-73,1578",2020-06-15,NaT,,0,0,0,1,1,0,0,1,JV,0,0,"2020 15 Junio, Puralaco","https://www.facebook.com/watch/?v=271693353890413
https://www.instagram.com/p/CBggfinlQ1y/","Video shows complete destruction of a house and a witness indicates the passage of a 'waterspout', suggesting an intensity of EF1.",
57,"Sector Talquita, Parral","-36,2376","-71,8076",2020-06-19,12:00:00,16:00:00,0,1,1,1,1,0,1,,,,,"2020 19 Junio, Parral","https://www.facebook.com/maulevirtualchile/videos/307360457089781/
https://www.facebook.com/watch/?v=707022773172481
https://www.instagram.com/p/CBpD07nla8Z/?igshid=1547v7rcsyhq0 ","Roof blow-offs. Records show a funnel cloud, but there are testimonies that it comes close to the surface.",
58,Yerbas Buenas (San Carlos de Arquén),"-35,73889","-71,58102",2020-06-24,NaT,,,,,,1,0,1,,,,,"2020 24 Junio, Yerbas Buenas (San Carlos de Arquén)",https://www.facebook.com/watch/?v=907230596423609,,
59,Llico,"-34,774","-72,063",2020-06-24,14:30:00,18:30:00,1,1,0,1,1,0,1,,,,,"2020 24 Junio, Llico",https://www.youtube.com/watch?v=zmY4fBDuY_Y. https://www.elmostrador.cl/dia/2020/06/24/registran-inusual-tromba-marina-en-caleta-de-llico-el-fenomeno-provoco-la-caida-de-arboles-y-techumbres/,,
60,Chigualoco (Los Vilos),"-31,755","-71,514",2020-06-29,15:49:00,19:49:00,0,0,0,0,0,1,1,,,,,"2020 29 Junio, Chigualoco","https://www.eldesconcierto.cl/nacional/2020/06/29/videos-sistema-frontal-se-traslada-a-coquimbo-tromba-marina-en-chigualoco-e-inundaciones-en-los-vilos.html 
https://www.facebook.com/watch/?v=570679513645575 ",,
61,Iloca (Duao),"-34,878","-72,158",2020-06-29,11:15:00,15:15:00,0,0,0,0,0,1,1,,,,,"2020 29 Junio, Iloca (Duao) ","https://www.soychile.cl/Concepcion/Sociedad/2020/06/29/661617/VIDEO-Una-tromba-marina-se-registro-en-la-localidad-de-Iloca.aspx?utm_source=Destacadas&utm_medium=Twitter&utm_campaign=Botones%20Sociales 
https://chile.as.com/chile/2020/06/29/videos/1593446990_134643.html 
https://cooperativa.cl/noticias/pais/region-del-maule/registran-paso-de-tromba-marina-en-iloca/2020-06-29/115042.html ","Waterspout. One of the videos talks about two events that developed in the same place, 10 minutes apart.",
62,Quintay,"-33,182","-71,698",2020-07-04,16:40:00,20:40:00,0,0,0,0,0,1,1,,,,,"2020 3 Julio, Quintay","https://www.biobiochile.cl/noticias/nacional/region-de-valparaiso/2020/07/04/onemi-confirma-paso-tromba-marina-quisco-evaluacion-una-reportada-quintay.shtm 
https://www.24horas.cl/regiones/valparaiso/registran-tromba-marina-en-quintay-tras-paso-de-sistema-frontal-4305270 ","Waterspout that stayed at sea, did not cause damage",
63,El Quisco (Punta de Tralca),"-33,42473538","-71,70091152",2020-07-04,17:10:00,21:10:00,1,1,0,1,1,1,1,,,,,"2020 4 julio, El Quisco",https://www.biobiochile.cl/noticias/nacional/region-de-valparaiso/2020/07/04/onemi-confirma-paso-tromba-marina-quisco-evaluacion-una-reportada-quintay.shtml https://aquisanantonio.cl/tromba-marina-arraso-con-un-quiosco-en-la-playa-de-punta-de-tralca/,,
64,Tocopilla,"-22,092","-70,207",2020-8-24,17:08:00,21:08:00,0,0,1,0,0,1,1,,,,,"2020 24 Agosto, Tocopilla","https://www.soychile.cl/Antofagasta/Sociedad/2020/08/24/670316/Tromba-marina-fue-registrada-en-el-puerto-de-T 
https://cooperativa.cl/noticias/pais/region-de-antofagasta/carnaval-de-rayos-y-una-tromba-marina-deja-en-tocopilla-el-sistema-frontal/2020-08-25/135152.htmlocopilla.aspx   ",Weak waterspout.,
65,Lago Villarrica,"-72,1808","-72,1808",2021-5-3,18:20:00,22:20:00,0,0,0,0,0,1,1,,,,,"2021 3 Mayo, Lago Villarrica","https://twitter.com/RedGeoChile/status/1389050363379060736  
https://climatologia.meteochile.gob.cl/publicaciones/boletinEventosExtremos/boletinEventosExtremos-2021.pdf 
https://www.facebook.com/radiolagovillarrica/photos/a.833378806721735/4126607920732124/?type=3  ",No damage reports.,
66,Toltén Viejo,"-39,2062","-73,2108",2021-06-09,13:00:00,17:00:00,0,0,1,1,1,1,0,,,,,"2021 9 Junio, Toltén Viejo","https://www.meganoticias.cl/nacional/339714-tolten-viejo-posible-tromba-marina-incendio-plaza-angamos-vivienda-casa-bomberos-09-06-2021.html 
https://cooperativa.cl/noticias/pais/region-de-la-araucania/tromba-marina-arraso-plaza-publica-en-tolten-arbol-cayo-sobre-domicilio/2021-06-09/163424.html  ","It is mentioned the fall of several trees, roof blow-offs, damage to sheds. It also mentions a fire caused by a fallen tree, with one person injured",
67,Ancud,"-41,8401","-73,842",2021-06-09,6:30:00,10:30:00,0,1,1,1,1,1,0,0,JV,0,0,"2021 9 Junio, Ancud","https://www.litoralpress.cl/sitio/Prensa_Texto?LPKey=4ROOH3HSJSDDGBIJ6DBRGI22TEK325MBW6RYAL7QZQPPUHB3VTRA 
https://www.facebook.com/watch/live/?ref=watch_permalink&v=488699242204949","The tornado caused power outages and roof blow-offs. Additionally, a building (made of light material) was mostly damaged by the complete blow-off of the roof. The intensity is estimated to be EF0.",
68,Mehuín (Mariquina),"-39,433","-73,1999",2021-06-09,11:00:00,15:00:00,0,0,0,0,1,1,0,1,JV,0,0,"2021 9 Junio, Mehuin",https://twitter.com/INF02000/status/1402800188784271365 ,Conversation on Twitter between a witness and R. Rondanelli indicates that they observed a tornado (referred to as a 'big whirlwind'). It knocked down about 10 trees. Photographs show destroyed roofs and uprooted trees. A maximum intensity of EF1 is suggested (Previous note: There are only visual records of the damage caused: fallen trees and roof blow-offs).,
69,Tucapel,"-37,28925399","-71,95107718",2021-08-19,3:00:00,7:00:00,1,1,0,1,1,0,0,1,JV,0,0,"2021 19 Agosto, Tucapel",https://www.eldesconcierto.cl/nacional/2021/08/19/videos-paso-de-tornado-en-tucapel-deja-caidas-de-arboles-voladuras-de-techos-y-al-menos-30-familias-afectadas.html    https://www.youtube.com/watch?v=59Omg9FKHk8 ,"The tornado caused partial or total roof blow-offs in at least 30 houses. 200 trees affected (uprooted or damaged). Electrical poles affected and street signs knocked down. Damage to the Family Health Center. Witnesses mention that intense winds lasted about 30 minutes, with a 'final bang' (referring to a loud sound). A maximum intensity of EF1 is estimated. (Previous note: They do not mention swirling winds, only intense winds. There was hail after the event, apparently.)",
70,Puerto Montt,"-41,4592","-72,9112",2022-03-08,12:59:00,16:59:00,1,0,1,1,1,0,0,0,JV,0,0,"2022 8 de Marzo, Puerto Montt",https://www.chvnoticias.cl/alerta-climatica/tornado-puerto-montt-viviendas_20220308/   https://twitter.com/sepulinares/status/1501308899898634245?s=21,"Evidence (videos) and witnesses suggest the passage of a tornado. Intense and very locally concentrated wind, effect similar to an earthquake inside the affected houses. About a dozen houses affected. Main impact on roofs and windows. Maximum intensity EF0.",
71,Peralillo,"-34,476","-71,464",2022-07-01,14:10:00,18:10:00,0,1,0,1,1,0,1,0,JV,0,0,"2022 1 Jul, Peralillo, O'Higgins",https://www.biobiochile.cl/noticias/nacional/region-de-ohiggins/2022/07/01/se-trataria-de-un-tornado-captan-fenomeno-que-causo-danos-estructurales-y-corte-de-luz-en-peralillo.shtml,"Damage in rural area, power outage, trees and impact on a photovoltaic power plant (solar panels ripped off and lifted). Video shows a tornadic cloud. Possible EF0.",
72,Cobquecura,"-36,077","-72,797",2022-08-15,13:59:00,17:59:00,0,0,0,0,0,1,1,0*,JV,0,0,"2022 15 Agosto, Cobquecura",https://www.biobiochile.cl/noticias/nacional/region-de-nuble/2022/08/15/captan-tromba-marina-desde-playa-de-cobquecura-advierten-no-acercarse-al-borde-costero.shtml, Waterspout over the ocean no damage report on the coast. Intensity EF0*.,
73,Ancud,"-41,885724","-73,84267",2023-06-02,17:50:00,21:50:00,1,0,1,1,1,0,0,1,JV,0,0,"2023 2 Junio, Ancud",https://www.meganoticias.cl/nacional/416003-reportan-tromba-marina-en-ancud-chiloe-tornado-03-06-2023.html,"Tornado forms as a waterspout over the Pacific Ocean, entering the continent west of the city of Ancud and crossing to the south/southwest. This tornado is accompanied by convective and electrical activity. Damage to roofs and buildings. Downed trees. Possible maximum intensity at the upper limit of EF1.",
74,Rio Barraza (Salamanca),"-31,946495","-70,35000",2023-02-04,,,0,0,0,0,1,0,1,0*,JV,0,0,"2023 4 Febrero, Rio Barraza (Salamanca)",https://twitter.com/RedGeoChile/status/1627751621970038787 ,Tornado over the foothills sector without affecting homes or structures. Intensity EF0*.,
75,Paihuano,"-30,352277","-70,43983",2023-02-06,,,0,0,0,0,1,0,1,0*,JV,0,0,"2023 6 Febrero, Paihuano",https://twitter.com/hernan_ahumada/status/1622807386049384448?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1622807386049384448%7Ctwgr%5E2e96145a82e4ba55f6abcde5301293d0834ab5a6%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.24horas.cl%2Fregiones%2Fzona-norte%2Fcoquimbo%2Ftornado-valle-del-elqui-paihuano ,Tornado over the foothills sector without affecting homes or structures. Intensity EF0*.,
76,Lago todos los Santos,"-41,110048","-72,35238",2023-06-25,13:48:00,17:48:00,0,0,0,0,0,1,1,0*,JV,0,0,"2023 25 Junio, Lago todos los Santos",https://twitter.com/davidurra7/status/1673025350647914499 ,Waterspout over the lake. No report of effects or damage to the coast. Intensity EF0*.,
77,"Las Quinientas, Lago Ranco (Futrono)","-40,1257","-72,3835",2023-06-26,12:20:00,16:20.00,0,0,1,1,1,0,1,0,JV,0,0,"2023 26 Junio, Las Quinientas, Lago Ranco (Futrono)",https://twitter.com/RedGeoChile/status/1673499954776621057,Video shows numerous funnel crossing forest area. Damage to 40-50 trees and power outage. Estimated maximum intensity EF0.,
78,Lago Llanquihue,"-41,104851","-72,75763",2023-06-26,15:35:00,19:35:00,0,0,0,0,0,1,1,,,,,"2023 26 Junio, Lago Llanquihue",,,
79,Puerto Saavedra,"-38,813995","-73,40369",2023-06-07,9:53:00,13:53:00,0,0,0,0,0,1,1,0*,JV,0,0,"2023 27 Junio, Puerto Saavedra ",https://twitter.com/NoticiasUMChile/status/1673691044704026624,Waterspout over the ocean. No report of effects or damage to the coast. Intensity EF0*.,
80,La Vara (Puerto Montt),"-41,422427","-72,90753",2023-06-27,15:28:00,19:28:00,0,0,0,1,1,0,1,1,JV,0,0,"2023 27 Junio, La Vara (Puerto Montt)",https://twitter.com/GrupoWurtlitzer/status/1673775339321868289,"Damage to housing, mainly to roofs. Some upturned trees can be seen. Possible EF0-EF1.",
81,"Lago Llanquihue
(aprox. km 34 Ruta 225 CH, 
P.Varas-Ensenada-Petrohué)","-41,224000","-72,65740",2023-07-14,16:04:00,20:04:00,0,0,0,0,0,1,1,0*,JV,0,0,"2023 14  Julio, Lago Llanquihue",https://twitter.com/GFFCandia/status/1680064124909244417,Waterspout over the lake. No report of effects or damage to the coast. Intensity EF0*.,
82,San Pedro de la Paz,"-36,858005","-73,16,1822",2023-09-06,12:45:00,15:45:00,0,0,0,0,0,1,1,0*,JV,0,0,"2023 6 Sept, San Pedro de la Paz",https://twitter.com/RedGeoChile/status/1699448782209839535 ,Waterspout over the ocean. No report of effects or damage to the coast. Intensity EF0*.,
83,"Maiquillahue, Mariquina","-39,45966","-73,25942",2023-09-11,16:45:00,19:45:00,0,0,0,0,0,1,1,0*,JV,0,0,"2023 11 Septiembre, Maiquillahue, Mariquina",https://twitter.com/RedGeoChile/status/1701331586271043699,Waterspout in coastal sector with surface effect but no damage reported. Intensity EF0*.,
