N°,Location,Latitude,Longitude,Date (Gregorian Calendar),Hour (local),Hour (UTC),Sound,Hail,Electric Storm,Damage,Tornado,Waterspout,Register,Max. EF Rating,Analyst,Fatalities,Injured,Link to Documents,Sources,Comments,Reported to CIMA database
11,Puerto Saavedra,"-38,79762406","-73,4015797",1934-05-29,0:00:00,4:00:00,1,0,0,1,1,1,0,,,,,"1934 29 de Mayo, Puerto Saavedra","New York Times, May 30 1934",,
12,Isla Quiriquina-Concepción,,,1961-06-02,,,0,0,0,1,1,1,0,,,,,"1961, 2 de junio, Isla Quiriquina-Concepción","Libro ""Catástrofes de Chile: 1541-1992""",,
13,Linares,"-35,8441","-71,5911",1962-06-27,10:00:00,14:00:00,0,1,1,1,1,1,0,,,,,"1962 27 Junio, Linares","Libro ""Catástrofes de Chile: 1541-1992""",,
14,Los Ángeles,"-37,449233","-72,336948",1975-07-08,14:00:00,18:00:00,0,0,0,1,1,0,0,,,,,"1975 08 Julio, Los Angeles","Libro ""Catástrofes de Chile: 1541-1992""",,
15,San Carlos,"-36,4250","-71,9584",1981-05-18,10:00:00,14:00:00,0,0,0,1,0,0,0,3,JV,2,323,"1981 18 Mayo, San Carlos",http://www.ladiscusion.cl/tornado-en-san-carlos-37-aos-de-la-tragedia-ms-grande-de-la-comuna/.  https://www.soychile.cl/Chillan/Policial/2013/05/31/177469/San-Carlos-ya-habia-sufrido-un-tornado-en-1981.aspx.  Schwarzkopf (1988),"The tornado uprooted the trees in the Plaza de Armas, tore off roofs and shattered windows at the train station, and knocked down 400 light poles, causing damage to vehicles. Two deaths were reported, one person missing, and several destructions, mainly in the Estación neighborhood. On that occasion, the tornado appeared about 55 kilometers west of the city and disappeared before reaching the town of Cachapoal. A witness reports being violently displaced by the air. Complete destruction of Araucaria and palm trees in the city's Plaza de Armas. Given these factors, we estimate a maximum intensity close to EF3",
16,Valdivia,"-39,81938548","-73,23224139",1981-05-17,12:00:00,16:00:00,0,0,0,1,0,0,0,,,,,"1981 17 Mayo, Valdivia","Schwarzkopf (1988) (fecha incorrecta, debe ser Domingo 17 y no Lunes 18)","That day, at 500 mb, the temperature field was in phase with the height field, indicating the presence of a cold trough. No cold front was detected over the Chilean region in the vertical cross-sections made. However, it was found that the disturbance that crossed the Chilean area on the 18th, embedded within a polar air mass, had the essential characteristics of an upper-level cyclone. The instability inherent in the polar air caused by heat transfer from the sea during its oceanic trajectory was increased by the passage of this cold depression at altitude to the point of producing tornadoes",
17,Valparaíso,"-33,04830195","-71,59882479",1991-06-19,10:30:00,14:30:00,0,1,1,1,0,0,0,,,,,"1991 19 Junio,  Valparaíso","El Mercurio de Valparaíso, 20 de Junio y 21 de Junio de 1991",,
18,Puerto Montt,"-41,4743","-72,9525",2006-05-15,,,0,1,1,1,1,0,0,,,,,"2006 15 de Mayo, Puerto Montt",https://www.ellanquihue.cl/prontus4_nots/site/artic/20060516/pags/20060516010513.html?0.5?0.5,"Intense winds, hail, large black whirlwind, event lasted minutes. Roofs were blown off, houses were destroyed. People injured",
19,Ancud,"-41,873","-73,805",2011-04-12,18:30:00,21:30:00,0,0,0,1,1,0,0,,,,,,https://www.aqua.cl/2011/04/14/chiloe-tromba-marina-provoco-serios-danos-en-costa-de-ancud/#,,
20,Arauco,"-37,24","-73,319",2007-06-21,20:00,0:00:00,1,1,1,1,1,1,0,,,,,"2007 21 Junio, Arauco",https://www.elbombero.cl/foro/threads/inusual-%E2%80%9Ctornado%E2%80%9D-en-arauco.3085/,"Thunderous noise, winds rumbling on the ground as if it were shaking, a dark funnel-shaped cloud that emerged from the beach, moving over one end of the city, followed by the fall of hailstones the size of beans. Started at sea, corresponds to a tornadic waterspout, presence of storm, hail, winds. Eventually, it moves towards the continent, thus becoming a tornado.",
21,Vegas del Itata,"-36,399251","-72,85404548",2010-06-14,11:30:00,15:30:00,1,0,0,1,1,1,0,,,,,"2010 14 Junio, Vegas del Itata",,,
22,Lirquen ,"-36,70434254","-72,99373005",2010-06-14,9:30:00,13:30:00,0,0,0,1,0,1,0,,,,,"2010 14 Junio, Lirquen",,,
23,Villarrica,"-39,281","-72,226",2011-06-07,15:30:00,19:30:00,0,1,1,1,1,0,1,,,,,"2011 7 Junio, Villarica",https://es.wikipedia.org/wiki/Tornado_de_Villarrica_de_2011,"It had a strength of 254 km/h and lasted close to 8 minutes. Electrical storm, lightning, thunder, hail, and intense precipitation. The tornado traveled almost half of Villarrica, starting in the population of Villa Lo Matta, in the upper sector of Villarrica, where it razed a forest and then moved towards the city center. 7 people were injured to various degrees and about 500 were affected. There were power and water outages. It was classified as an F3 on the Fujita-Pearson scale according to National Geographic",
24,San Carlos ,"-36,42","-71,962",2013-05-31,11:20:00,15:20:00,0,1,1,1,1,0,0,1,JV,0,2,"2013 31 Mayo, San Carlos",https://www.24horas.cl/nacional/un-inusual-tornado-causa-danos-en-la-ciudad-de-san-carlos-672337 https://es.wikipedia.org/wiki/Tornado_de_San_Carlos_de_2013,"It was rated as 'F2 on the Fujita-Pearson scale according to National Geographic,' according to Wikipedia. However, the original source has not been found. Power outage, damages include two community centers and five flower shops at the Municipal Cemetery, and the Violeta Parra High School. The tornado occurred around 11:20 AM. Given the evidence, the estimated maximum intensity is EF1.",
25,Loncoche,"-39,3919","-72,6604",2014-06-04,NaT,,0,1,1,1,1,0,1,,,,,,https://www.soychile.cl/Temuco/Sociedad/2014/06/07/254189/Un-mini-tornado-azoto-un-fundo-en-Loncoche-y-volo-techumbres-de-lecherias-y-galpones.aspx,,
26,Puerto Montt (Sector Lagunillas),"-41,447","-73,022",2015-06-01,16:30:00,19:30:00,0,0,0,1,1,1,1,,,,,"2015 1 Junio, Puerto Montt",https://www.soychile.cl/puerto-montt/sociedad/2015/06/01/325822/presunto-tornado-ocasiono-diversos-danos-en-casas-de-puerto-montt.aspx,Video shows cyclonic circulation consistent with a weak tornado.,
27,Lago Llanquihue,"-41,217","-72,883",2015-06-03,17:28:00,20:28:00,0,0,0,0,0,1,1,,,,,"2015 3 Junio, Lago Llanquihue","https://www.facebook.com/comunaLlanquihue/videos/964119710306912/ 
https://twitter.com/rrickemiller/status/606521900794302464 
https://www.facebook.com/teletrece/photos/lo-que-ves-es-una-mini-tromba-marina-registrada-esta-tarde-en-el-lago-llanquihue/823601181054781/",,
28,Tirúa,"-38,339","-73,500",2015-07-05,15:00:00,18:00:00,0,1,1,1,0,1,1,,,,,"2015 5 Julio, Tirúa","https://cooperativa.cl/noticias/pais/tiempo/al-menos-16-viviendas-resultaron-danadas-por-tromba-marina-en-tirua/2015-07-05/163912.html 
https://www.biobiochile.cl/noticias/2015/07/05/tromba-marina-en-tirua-causa-danos-en-al-menos-25-viviendas.shtml 
https://www.soychile.cl/Arauco/Sociedad/2015/07/05/332516/Fuertes-rafagas-de-viento-causaron-danos-a-unas-50-viviendas-de-Tirua.aspx ",,
