UniqueID,Location,Latitude,Longitude,Date (Gregorian Calendar),Hour (UTC),Tornado,Waterspout,Max. EF Rating,Fatalities,Injured,Region,Comune
CL0044,Puerto Montt (Población Modelo),-41.465594,-72.949097,2017-06-03,18:42:00,1,1.0,0,0,0,CL-LL,puerto montt
CL0045,"Hualpín, Teodoro Schmidt",-39.081498,-73.183752,2017-07-14,13:30:00,1,0.0,1,0,0,CL-AR,teodoro schmidt
CL0046,"Ponotro, Tirúa",-38.28,-73.5,2017-07-14,NaT,0,1.0,0,0,0,CL-BI,tirua
CL0047,"Meulín, Chiloé",-42.4,-73.29,2017-07-17,10:00:00,1,,1,0,0,CL-LL,quinchao
CL0048,Llico,-37.196,-73.562,2017-08-10,12:00:00,1,1.0,0,0,0,CL-BI,arauco
CL0049,"El Tume, Villarrica",-39.2301180116901,-72.2788727214217,2017-10-04,18:00:00,1,0.0,0,0,0,CL-AR,villarrica
CL0050,"Alerce, Puerto Montt",-41.396,-72.91,2018-03-22,16:30:00,1,0.0,1,0,0,CL-LL,puerto montt
CL0051,Padre de Las Casas (Camino a Cunco),-38.78,-72.57,2018-03-23,06:00:00,1,0.0,1,0,0,CL-AR,padre las casas
CL0052,Caleta La Arena,-41.693,-72.643,2018-09-30,NaT,1,0.0,1,0,0,Not found,Not found
CL0053,Lago Llanquihue,-41.15542,-72.670038,2018-09-30,16:51:00,0,1.0,0*,0,0,CL-LL,puerto varas
CL0054,San Andrés (Collipulli),-37.962342,-72.320161,2019-05-30,22-23:25 ,1,0.0,1,0,13,CL-AR,collipulli
CL0055,Los Ángeles,-37.463,-72.33,2019-05-30,21:57:00,1,0.0,2,0,18,CL-BI,los angeles
CL0056,San Miguel de Itata (Yungay),-37.106,-72.119,2019-05-30,19:20:00,1,0.0,0,0,0,CL-NB,yungay
CL0057,"Coihueco, Ñuble",-36.726,-71.81,2019-05-30,20:06:00,1,0.0,2,0,0,CL-NB,coihueco
CL0058,Quilelto (San Carlos),-36.496,-71.943,2019-05-30,19:00:00,1,0.0,0,0,0,CL-NB,san carlos
CL0059,Talcahuano-Concepción,-36.785,-73.1,2019-05-31,18:00:00,1,0.0,2,1,23,CL-BI,hualpen
CL0060,"Chanco, Maule",-35.775,-72.505,2019-05-31,19:00-19:20 ,1,0.0,0,0,0,CL-ML,chanco
